mu,mu0,alpha,delta1,delta2,tau_min,tau_max,alpha_bpl,beta_bpl,F_break,F_min,fitness
1.4920647014797637,1.0042817175945908,6.182621043947844,-0.893595125354242,0.17770371515449127,0.012873768316787562,51.410542098048516,0.5563529533465974,1.9076332679793484,7.860124954078518e-07,1.0154459840998802e-07,0.5506850340023748
1.036889615933608,1.131589682376256,10.225228621891256,-0.43759660113147336,0.22413700991047983,0.03388800835955271,6.978758537390026,0.35805264992083213,1.9030905028910627,2.8131165498336617e-07,5.36824104443832e-07,0.4785004416106738
1.021560419356989,0.7321069864241412,10.366207203010504,-1.0603353392276924,0.02036543887340241,0.035912620473961133,65.15089942063172,0.020727381789280765,1.5672066207279371,1.3146778435939112e-08,1.6938790690137785e-07,0.6768384949486217
1.0835418766867353,1.2144091631583194,14.13440275625569,-1.3073279080370954,0.2619555872707669,0.021561753194802143,31.437897530566094,0.6081124888924079,1.2854857408857359,5.310383414454823e-06,5.900608566616119e-08,0.49601519778566355
0.8087983715215681,1.0530259772734882,14.95567437422421,-1.2072035367951834,0.2721846847088752,0.020961434661279286,55.12790673398269,0.6330490784635647,1.6696851027014303,1.0741499183202993e-08,4.3855785436352624e-07,0.6280758046043812
0.7206524034428063,1.3073486867723785,13.326666174721737,-0.9011173010762293,0.236624858398875,0.031987705662499824,55.16244215182835,0.6847047369960547,2.037503099998753,7.844162723600253e-06,4.220064623222747e-07,0.30979921029899277
0.9620834365921414,1.2746259590525897,1.1546143324383014,-1.163845101582949,0.29048875755672415,0.04487819148574946,11.887914426285004,0.8703559095447835,1.646181708519941,4.3144882668095215e-08,1.2871744317227342e-08,0.6745754758589279
1.3732300410260745,0.883270726164349,6.335901447952561,-0.4782371446661664,0.10535406942305228,0.016369095192517745,21.093925424505823,0.4737045487308747,1.4943018241727648,7.245123887169339e-06,6.429213138846599e-08,0.27896388167485275
0.8828953560587242,1.0049026219189412,5.415952288670078,-0.5879349486261762,0.27155296364171466,0.031228716484200978,13.13367709812209,0.36635818294442163,1.705270709603548,3.7142031975470397e-06,1.3026585402646378e-07,0.3926161971413433
1.1918486135513058,1.1788574750449776,6.512225842760187,-0.43764913161168906,0.2193623228186675,0.010707361008161847,72.24340709047837,0.49392691245920767,1.7442656460882997,7.814586599743883e-07,1.1778482258481249e-08,0.4011123418755393
0.8792766063709696,1.4061191075830641,4.659192348816609,-0.3759407861801467,0.255102837318914,0.012533241136333018,45.408715345045735,0.27134655728102236,1.4182819512154219,4.628326555893362e-08,6.592226157105514e-08,0.45262427034484104
0.843603460683425,0.9049564134010633,3.433081918625218,-0.7735973603035544,0.2631941311250601,0.023658243478914598,20.851093796276004,0.09348058342921504,1.7032462075324966,1.3544046392712293e-08,9.509052599860944e-07,0.3222573548735828
1.4637613160801541,1.3861890716436571,6.100143319837258,-1.4365112514278078,0.01677470911756531,0.020040170448073744,34.14206565336752,0.45736569687632206,2.1456151251793516,9.064413892718202e-07,5.526815922817025e-07,0.5090722501771509
1.4239086754673815,0.9489023406223664,4.314384664253774,-1.4416150183699576,0.01854781826803906,0.01084762700506709,19.739704702965927,0.7992494128575732,1.94600895572262,1.1430059721344141e-06,4.3569806697375325e-08,0.3996788683268171
1.4655505925761028,1.228455486292499,2.4704856693579123,-0.7948679940619341,0.011812479909717144,0.012336668220808315,33.6550822227676,1.0755332807876805,1.3043303729147582,4.022980305066425e-06,4.131853578428726e-08,0.5540321403956738
1.2515564575186604,1.0249019715053278,5.447997006322941,-1.143375106177285,0.1186643149545753,0.01819710607322541,47.157304733082135,0.4358405076267464,1.9789734280881746,7.455387621838978e-06,2.463386273787361e-07,0.29270046884509876
1.2060862941903001,0.8537814310043673,8.160560309636764,-0.3518025550230337,0.035337968817948415,0.023285714405965715,14.847034781917738,0.4649541448712505,2.0548193170027194,4.943990382893645e-06,4.0452613952120855e-07,0.3236189889941737
0.8118126550551603,1.3407701135629568,1.7701587218731976,-0.7433678794886195,0.030911136350572164,0.0491940808651925,7.2503128087613025,1.1077645523218271,2.2644645853225596,9.9882380336077e-06,1.0150332627632268e-08,0.28477369739788505
1.1066189038849739,1.0488823014066937,11.019481747620395,-0.979019568563999,0.047598423452176464,0.012387923646508892,13.636925209304025,0.8967484022804475,2.0995398365733164,1.551141022398294e-07,7.947608984939679e-07,0.3411724443900784
1.1762133933780787,1.3123208660013308,1.688171534429851,-0.5738559977365342,0.07595127303353212,0.022346842688179533,34.136268942266746,0.115478451202403,1.7026343909702852,1.8259809462591494e-06,2.5276696271796916e-08,0.35746812546649676
0.9620834365921414,0.7321069864241412,1.1546143324383014,-1.163845101582949,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,1.3146778435939112e-08,1.6938790690137785e-07,0.30326757269953286
1.4920647014797637,1.2746259590525897,1.1546143324383014,-1.163845101582949,0.17770371515449127,0.012873768316787562,51.410542098048516,0.8703559095447835,1.9076332679793484,7.860124954078518e-07,1.2871744317227342e-08,0.5527903668217021
1.021560419356989,0.7321069864241412,10.366207203010504,-1.0603353392276924,0.02036543887340241,0.035912620473961133,65.15089942063172,0.020727381789280765,1.646181708519941,1.3146778435939112e-08,1.2871744317227342e-08,0.29630264834726067
1.021560419356989,1.2746259590525897,10.366207203010504,-1.163845101582949,0.17407153501764777,0.04487819148574946,65.15089942063172,0.020727381789280765,1.5672066207279371,1.3146778435939112e-08,1.2871744317227342e-08,0.18043337889430017
0.9620834365921414,1.2746259590525897,6.182621043947844,-0.893595125354242,0.17770371515449127,0.012873768316787562,11.887914426285004,0.5563529533465974,1.5513569017730833,4.3144882668095215e-08,1.2871744317227342e-08,0.47261020716635627
1.4920647014797637,0.7321069864241412,10.366207203010504,-0.893595125354242,0.17770371515449127,0.012873768316787562,51.410542098048516,0.5563529533465974,1.5672066207279371,1.3146778435939112e-08,1.6938790690137785e-07,0.43968049125373365
1.1529975872020695,1.2746259590525897,1.1546143324383014,-1.163845101582949,0.244368496193906,0.04487819148574946,65.15089942063172,0.31434095769024123,1.5672066207279371,4.3144882668095215e-08,1.2871744317227342e-08,0.28413768096732456
1.021560419356989,1.0042817175945908,10.366207203010504,-0.893595125354242,0.17770371515449127,0.035912620473961133,65.15089942063172,0.5563529533465974,1.9076332679793484,7.860124954078518e-07,1.0154459840998802e-07,0.6364806948390088
1.4920647014797637,1.2746259590525897,1.1546143324383014,-1.163845101582949,0.29048875755672415,0.012873768316787562,16.485574366089665,0.8703559095447835,1.646181708519941,7.860124954078518e-07,1.0154459840998802e-07,0.4174763941907315
0.9620834365921414,1.2746259590525897,10.366207203010504,-1.163845101582949,0.29048875755672415,0.04487819148574946,65.15089942063172,0.020727381789280765,1.5672066207279371,1.3146778435939112e-08,1.6938790690137785e-07,0.3046939093489535
0.9620834365921414,1.2746259590525897,1.1546143324383014,-1.163845101582949,0.02036543887340241,0.019593185295397178,11.887914426285004,0.020727381789280765,1.5672066207279371,1.3146778435939112e-08,1.2871744317227342e-08,0.32012046567248814
0.9620834365921414,0.7321069864241412,10.366207203010504,-1.163845101582949,0.29048875755672415,0.035912620473961133,11.887914426285004,0.020727381789280765,1.5672066207279371,1.3146778435939112e-08,1.6938790690137785e-07,0.5782744545813581
0.9620834365921414,1.0042817175945908,1.1546143324383014,-1.0677037785500971,0.29048875755672415,0.012873768316787562,11.887914426285004,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.282964326792512
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.163845101582949,0.02036543887340241,0.035912620473961133,73.15381826345954,0.020727381789280765,1.5672066207279371,1.3146778435939112e-08,1.2871744317227342e-08,0.31151628784998675
0.9620834365921414,1.2746259590525897,6.182621043947844,-1.163845101582949,0.29048875755672415,0.015290380957276264,51.410542098048516,0.5563529533465974,1.9076332679793484,7.860124954078518e-07,1.2871744317227342e-08,1.0108014856395708
0.9620834365921414,1.0042817175945908,6.182621043947844,-0.893595125354242,0.29048875755672415,0.04487819148574946,51.410542098048516,0.5563529533465974,1.9076332679793484,7.860124954078518e-07,1.2871744317227342e-08,0.4129687723979476
1.021560419356989,0.7321069864241412,1.1546143324383014,-0.5414528381689468,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.4165646996574344
0.9620834365921414,1.2746259590525897,6.182621043947844,-0.893595125354242,0.17770371515449127,0.04487819148574946,11.887914426285004,0.5563529533465974,1.9076332679793484,7.860124954078518e-07,1.2871744317227342e-08,0.4756924293566026
1.4920647014797637,1.2746259590525897,1.1546143324383014,-1.163845101582949,0.29048875755672415,0.04487819148574946,11.887914426285004,0.8703559095447835,1.646181708519941,7.860124954078518e-07,1.0154459840998802e-07,0.30639869027149946
1.021560419356989,1.0042817175945908,10.366207203010504,-0.893595125354242,0.26863778840563446,0.034383657414491106,51.410542098048516,0.5563529533465974,1.9076332679793484,1.3146778435939112e-08,1.4768924733615386e-07,0.40554098476845074
1.021560419356989,1.2746259590525897,5.662807728637953,-1.163845101582949,0.29048875755672415,0.015290380957276264,51.410542098048516,0.5563529533465974,1.646181708519941,1.3146778435939112e-08,1.2871744317227342e-08,0.20876194870155262
0.9620834365921414,1.2746259590525897,6.182621043947844,-0.5414528381689468,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.3164666751398013,7.860124954078518e-07,1.2871744317227342e-08,0.43640842926260864
1.021560419356989,0.7321069864241412,10.366207203010504,-0.5414528381689468,0.02036543887340241,0.035912620473961133,65.15089942063172,0.020727381789280765,1.442681438428459,1.3146778435939112e-08,1.2871744317227342e-08,0.23858143518303396
1.021560419356989,0.7321069864241412,10.366207203010504,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.2623025027734341
1.021560419356989,0.7321069864241412,10.366207203010504,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.2882014225434306
1.021560419356989,0.7321069864241412,10.366207203010504,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,1.3146778435939112e-08,1.2871744317227342e-08,0.2517763390957587
0.9620834365921414,1.2746259590525897,6.182621043947844,-1.163845101582949,0.29048875755672415,0.035912620473961133,65.15089942063172,0.020727381789280765,1.7596869618944915,1.3146778435939112e-08,1.2871744317227342e-08,0.19402389511116325
0.9620834365921414,0.7321069864241412,6.182621043947844,-1.163845101582949,0.02036543887340241,0.015290380957276264,65.15089942063172,0.5563529533465974,1.3164666751398013,7.860124954078518e-07,1.2871744317227342e-08,0.606417864755561
1.021560419356989,0.7321069864241412,10.366207203010504,-0.5414528381689468,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.23058489191026463
0.9620834365921414,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.4694555562131732
0.9620834365921414,1.1654751168345932,1.1546143324383014,-1.163845101582949,0.29048875755672415,0.015290380957276264,51.410542098048516,0.5563529533465974,1.9076332679793484,7.860124954078518e-07,1.2871744317227342e-08,0.5326793472370165
1.021560419356989,0.7321069864241412,1.1546143324383014,-0.5414528381689468,0.02036543887340241,0.035912620473961133,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,3.8766898715616975e-07,0.28974370140309313
1.021560419356989,1.2746259590525897,10.366207203010504,-1.163845101582949,0.29048875755672415,0.015290380957276264,65.15089942063172,0.5563529533465974,1.9076332679793484,1.3146778435939112e-08,1.2871744317227342e-08,0.19797979948821112
0.9620834365921414,1.2746259590525897,10.366207203010504,-1.0603353392276924,0.02036543887340241,0.03891600429179283,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,1.1484281218544656
1.021560419356989,0.7321069864241412,10.366207203010504,-0.5414528381689468,0.02036543887340241,0.035912620473961133,65.15089942063172,0.020727381789280765,1.646181708519941,1.3146778435939112e-08,1.2871744317227342e-08,0.18857630671731296
0.9620834365921414,1.2746259590525897,6.182621043947844,-1.441420176840932,0.29048875755672415,0.015290380957276264,65.15089942063172,0.5563529533465974,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.2820208275076337
1.021560419356989,0.7321069864241412,10.366207203010504,-1.0603353392276924,0.29048875755672415,0.035912620473961133,65.15089942063172,0.01294233304110677,1.646181708519941,1.3146778435939112e-08,1.2871744317227342e-08,0.2071353628902421
1.021560419356989,0.7321069864241412,5.513836859796139,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.8617681979308978,1.3146778435939112e-08,1.2871744317227342e-08,0.19516012926772375
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.303812405182776
1.4681261212865,0.7321069864241412,6.182621043947844,-1.163845101582949,0.29048875755672415,0.04487819148574946,51.410542098048516,0.5563529533465974,1.9076332679793484,7.860124954078518e-07,1.2871744317227342e-08,0.5411826226325565
1.021560419356989,0.7321069864241412,10.366207203010504,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.2623025027734341
0.9620834365921414,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.2040084520368056
0.9620834365921414,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.302801049511804
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6882776139232748
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.303812405182776
1.021560419356989,0.7321069864241412,8.365486864831126,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,1.3146778435939112e-08,1.2871744317227342e-08,0.19575762375522904
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.020727381789280765,1.646181708519941,1.3146778435939112e-08,1.2871744317227342e-08,0.24818130807428887
0.9620834365921414,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.3164666751398013,7.860124954078518e-07,1.2871744317227342e-08,0.3327455166281298
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.7173442549735929
1.021560419356989,0.7321069864241412,10.366207203010504,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.5563529533465974,1.3164666751398013,7.860124954078518e-07,1.2871744317227342e-08,0.5824774810768872
0.9620834365921414,0.7321069864241412,10.366207203010504,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.2444823771087537
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.5173965020205351
0.9620834365921414,0.7321069864241412,10.366207203010504,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.5696971939133479
0.9620834365921414,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,1.3146778435939112e-08,1.2871744317227342e-08,0.351358181718395
1.021560419356989,0.7321069864241412,1.0339033585914028,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.5563529533465974,1.3164666751398013,7.860124954078518e-07,1.2871744317227342e-08,0.44098521501828586
1.021560419356989,0.7321069864241412,10.366207203010504,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.2623025027734341
1.021560419356989,0.7321069864241412,10.366207203010504,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.3164666751398013,1.3146778435939112e-08,1.2871744317227342e-08,0.2623025027734341
0.9620834365921414,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.020727381789280765,1.3164666751398013,7.860124954078518e-07,1.2871744317227342e-08,0.38445772604550227
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.4751022586368886
0.9620834365921414,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.4694555562131732
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.5173965020205351
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5271386820414766,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6051604607407873
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6882776139232748
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,3.175342263659795e-07,1.2871744317227342e-08,0.6532011584756495
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6882776139232748
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6455278522615039
1.021560419356989,1.0694188467864343,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6016720927466115
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.7173442549735929
1.021560419356989,0.7321069864241412,3.3733095687010337,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6702328554703444
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.7173442549735929
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,5.7571764494872546e-08,0.4377843918249138
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.278531372267544,0.10716611425376464,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.54199304158527
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.06460411460182683,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.4450051310715285
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.5576317316497953
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.5173965020205351
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.45081807669038687
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.629094297417926
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,2.69221230701416e-08,0.6193484069413959
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.03211418501559923,0.04487819148574946,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.5757639269826329
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.020727381789280765,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.5527551863351027
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.4852946500409443
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6455278522615039
1.021560419356989,0.7321069864241412,3.161978924262133,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.42539380223505663
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6882776139232748
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6882776139232748
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6882776139232748
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,5.795714205965945e-08,0.8834413743672258
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.015290380957276264,29.261202696996328,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.5324368689728158
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.4751022586368886
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6882776139232748
0.9550710646602762,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.5705831794184733
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.47947709479126277
1.021560419356989,0.7321069864241412,4.914929719498792,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,2.673652697306829e-06,1.2871744317227342e-08,0.816721674843696
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.5276535681238926
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.04487819148574946,49.45739800697247,0.5563529533465974,2.070450435954915,7.860124954078518e-07,1.2871744317227342e-08,0.7113791894907996
1.021560419356989,1.026205699854648,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.015290380957276264,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6604371220911982
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6882776139232748
1.021560419356989,0.7321069864241412,1.1546143324383014,-0.3097738590769332,0.02036543887340241,0.015290380957276264,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.46984828834776354
1.021560419356989,0.7321069864241412,1.1546143324383014,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.6882776139232748
1.021560419356989,0.7321069864241412,6.182621043947844,-1.0603353392276924,0.02036543887340241,0.04487819148574946,65.15089942063172,0.5563529533465974,1.646181708519941,7.860124954078518e-07,1.2871744317227342e-08,0.40032517661209344
